Date,Vendor Credit Number,Vendor Name,Mode of Refund,Exchange Rate,Refund Account,Refund Account Code,Amount,Description,Reference Number
2021-03-31,01 CN,LANA TECHNOLOGIES PVT LTD,Cash,1.000000000000,Petty Cash,,2938.200,,
2020-09-04,056651,Meezan electronic scales Pvt Ltd,Check,1.000000000000,Kotak Current Account,,29889.400,NEFT Nxxxxxxxxxxx9090 MEEZAN ELECTRONIC SCALES PV,
2023-01-13,102223CN-003767,Zoho Technologies Pvt. Ltd.,Check,1.000000000000,Kotak Current Account,,5066.130,NEFT IN1ON23011301FTF ZOHO TECHNOLOGIES PRIVATE L,
