Vendor Credit Date,Vendor Credit ID,Vendor Credit Number,Entity Type,Branch ID,Branch Name,Vendor Credit Status,Accounts Payable,Vendor Name,Vendor ID,Associated Bill Number,Reference Invoice Type,Currency Code,Exchange Rate,TCS Amount,TCS Tax Name,TCS Percentage,Nature Of Collection,Source of Supply,Destination of Supply,GST Treatment,GST Identification Number (GSTIN),Is Inclusive Tax,Account,Account Code,Item Name,Product ID,SKU,UPC,MPN,EAN,ISBN,Item Desc,Quantity,Usage unit,Warehouse Name,Item Price,HSN/SAC,Is Tax Calculated on Label Price,Tax1 ID,Item Tax,Item Tax %,Item Tax Amount,Item Tax Type,Item Non Advol Cess Amount,Item Exemption Code,Item Type,ITC Eligibility,Reverse Charge Tax Name,Reverse Charge Tax Rate,Reverse Charge Tax Type,Item Total,Supply Type,MRP,SubTotal,Discount Type,Is Discount Before Tax,Entity Discount Percent,Entity Discount Amount,Discount Account,Discount Account Code,Total,Balance,Adjustment,Adjustment Description,Adjustment Account,Notes,Reference#,Batch ID,Batch Reference#,Manufacturer Batch#,Manufactured Date,Expiry Date,Quantity Out,Serial Numbers,Loaction,Project ID,Project Name,TDS Name,TDS Percentage,TDS Section Code,TDS Section,TDS Amount,TDS Calculation Type,Item TDS Name,Item TDS Percentage,Item TDS Amount,Item TDS Section Code,Item TDS Section,CGST Amount,SGST Amount,IGST Amount,CESS Amount
2023-05-01,99381000009319264,RKL22-CNA0087606,Vendor Credit,99381000000098082,Cochin,Closed,Accounts Payable,IBIBO GROUP PRIVATE LIMITED - KL,99381000009316192,RKL22-A001089833,,INR,1.00,,,,,KL,KL,business_gst,32AAHCP1178L1Z9,false,Marketing expenses,,,,,,,,,Bus charge,1.00,,,1500.00,,FALSE,99381000000006176,GST5,5.00,75.00,Tax Group,,,service,eligible,,,,1500.00,,,1500.00,entity_level,true,0.00,0.000,,,1575.00,0.00,0.00,Adjustment,,,,,,,,,,,,,,,0.00,,,0.000,item_level,,,0.000,,,37.500,37.500,0.000,0.000
2023-06-26,99381000009716298,CR/23-24/00497,Vendor Credit,99381000003083031,Head Office,Closed,Accounts Payable,BREVERA TECHNOLOGIES PRIVATE LIMITED,99381000002741038,G-10117,Registered,INR,1.00,,,,,KA,KL,business_gst,29AAFCB7108Q1Z4,false,Service/Compensation,,,,,,,,,Mother board servicing,1.00,,,152.00,,FALSE,99381000000006196,IGST18,18.00,27.36,ItemAmount,,,service,eligible,,,,152.00,,,152.00,entity_level,true,0.00,0.000,,,179.00,0.00,-0.36,Adjustment,Other Expenses,,,,,,,,,,,,,,0.00,,,0.000,item_level,,,0.000,,,0.000,0.000,27.360,0.000
2023-06-26,99381000009716328,CR/23-24/00496,Vendor Credit,99381000003083031,Head Office,Closed,Accounts Payable,BREVERA TECHNOLOGIES PRIVATE LIMITED,99381000002741038,G-09414,Registered,INR,1.00,,,,,KA,KL,business_gst,29AAFCB7108Q1Z4,false,Service/Compensation,,,,,,,,,Mother board servicing,2.00,,,152.00,,FALSE,99381000000006196,IGST18,18.00,54.72,ItemAmount,,,service,eligible,,,,304.00,,,304.00,entity_level,true,0.00,0.000,,,359.00,0.00,0.28,Adjustment,Other Expenses,,,,,,,,,,,,,,0.00,,,0.000,item_level,,,0.000,,,0.000,0.000,54.720,0.000
2022-11-03,99381000010391913,CR-03384,Vendor Credit,99381000003083031,Head Office,Closed,Accounts Payable,BREVERA TECHNOLOGIES PRIVATE LIMITED,99381000002741038,G-08477,Registered,INR,1.00,,,,,KA,KL,business_gst,29AAFCB7108Q1Z4,false,Service/Compensation,,,,,,,,,Motherboard servicing,1.00,,,152.00,,FALSE,99381000000006196,IGST18,18.00,27.36,ItemAmount,,,service,eligible,,,,152.00,,,152.00,entity_level,true,0.00,0.000,,,179.00,0.00,-0.36,Adjustment,Other Expenses,,,,,,,,,,,,,,0.00,,,0.000,item_level,,,0.000,,,0.000,0.000,27.360,0.000
2022-11-03,99381000010391945,CR-03385,Vendor Credit,99381000003083031,Head Office,Closed,Accounts Payable,BREVERA TECHNOLOGIES PRIVATE LIMITED,99381000002741038,G-07504,Registered,INR,1.00,,,,,KA,KL,business_gst,29AAFCB7108Q1Z4,false,Cloud Service Charge,,,,,,,,,Motherboard servicing,3.00,,,152.00,,FALSE,99381000000006196,IGST18,18.00,82.08,ItemAmount,,,service,eligible,,,,456.00,,,456.00,entity_level,true,0.00,0.000,,,538.00,0.00,-0.08,Adjustment,Other Expenses,,,,,,,,,,,,,,0.00,,,0.000,item_level,,,0.000,,,0.000,0.000,82.080,0.000
2022-11-03,99381000010393009,CR-03386,Vendor Credit,99381000003083031,Head Office,Closed,Accounts Payable,BREVERA TECHNOLOGIES PRIVATE LIMITED,99381000002741038,G-06833,Registered,INR,1.00,,,,,KA,KL,business_gst,29AAFCB7108Q1Z4,false,Service/Compensation,,,,,,,,,Motherboard servicing,3.00,,,149.00,,FALSE,99381000000006196,IGST18,18.00,80.46,ItemAmount,,,service,eligible,,,,447.00,,,447.00,entity_level,true,0.00,0.000,,,527.00,0.00,-0.46,Adjustment,Other Expenses,,,,,,,,,,,,,,0.00,,,0.000,item_level,,,0.000,,,0.000,0.000,80.460,0.000
2023-08-15,99381000010781904,ADS137-102763956,Vendor Credit,99381000000098082,Cochin,Closed,Accounts Payable,Facebook India Online Services Pvt. Ltd.,99381000000929424,,Registered,INR,1.00,,,,,HR,KL,business_gst,06AABCF5150G1ZZ,false,Advertisement expenses,,,,,,,,,ad charges,1.00,,,0.01,,FALSE,99381000000006196,IGST18,18.00,0.00,ItemAmount,,,service,eligible,,,,0.01,,,0.01,entity_level,true,0.00,0.000,,,0.01,0.00,0.00,Adjustment,,,,,,,,,,,,,,,0.00,,,0.000,item_level,,,0.000,,,0.000,0.000,0.000,0.000
2023-09-18,99381000010768809,ADS137-102764117,Vendor Credit,99381000000098082,Cochin,Closed,Accounts Payable,Facebook India Online Services Pvt. Ltd.,99381000000929424,,Registered,INR,1.00,,,,,HR,KL,business_gst,06AABCF5150G1ZZ,false,Advertisement expenses,,,,,,,,,Add charges,1.00,,,0.05,,FALSE,99381000000006196,IGST18,18.00,0.01,ItemAmount,,,service,eligible,,,,0.05,,,0.05,entity_level,true,0.00,0.000,,,0.06,0.00,0.00,Adjustment,,,,,,,,,,,,,,,0.00,,,0.000,item_level,,,0.000,,,0.000,0.000,0.010,0.000
2023-12-04,99381000011962948,2,Vendor Credit,99381000000098082,Cochin,Closed,Accounts Payable,DYNAMIC ENTERPRISES,99381000001476187,245,,INR,1.00,,,,,KL,KL,business_gst,32ATJPS7075B1ZN,false,Cost of Goods Sold,,,,,,,,,Amount diffrence,250.00,,,139.00,,FALSE,99381000000006208,GST18,18.00,6255.00,Tax Group,,,service,eligible,,,,34750.00,,,34750.00,entity_level,true,0.00,0.000,,,41005.00,0.00,0.00,Adjustment,,,,,,,,,,,,,,,0.00,,,0.000,item_level,,,0.000,,,3127.500,3127.500,0.000,0.000
2024-06-07,99381000015646052,CR/24-25/00372,Vendor Credit,99381000003083031,Head Office,Closed,Accounts Payable,BREVERA TECHNOLOGIES PRIVATE LIMITED,99381000002741038,G/23-24/02518,Registered,INR,1.00,,,,,KA,KL,business_gst,29AAFCB7108Q1Z4,false,Service/Compensation,,,,,,,,,Complaint Motherboard,2.00,,,152.00,,FALSE,99381000000006196,IGST18,18.00,54.72,ItemAmount,,,service,eligible,,,,304.00,,,304.00,entity_level,true,0.00,0.000,,,359.00,0.00,0.28,Adjustment,Other Expenses,,,,,,,,,,,,,,0.00,,,0.000,item_level,,,0.000,,,0.000,0.000,54.720,0.000
2024-11-30,99381000019579483,5,Vendor Credit,99381000000098082,Cochin,Closed,Accounts Payable,ANALYTIX BIZCARE SOLUTIONS PVT LTD,99381000017454571,BIZ/24-25/1209,Registered,INR,1.00,,,,,KL,KL,business_gst,32AANCA7303C1Z6,false,Consultancy Charges,,,,,,,,,Din Renewal,1.00,,,1500.00,,FALSE,99381000000006208,GST18,18.00,270.00,Tax Group,,,service,eligible,,,,1500.00,,,1500.00,entity_level,true,0.00,0.000,,,1770.00,0.00,0.00,Adjustment,,,,,,,,,,,,,,,0.00,,,0.000,item_level,,,0.000,,,135.000,135.000,0.000,0.000
2025-06-30,99381000023291553,CN-00001,Vendor Credit,99381000003083031,Head Office,Closed,Accounts Payable,Sanoft Technologies Private Limited,99381000002440003,INV-000161,Registered,INR,1.00,,,,,KL,KL,business_gst,32ABFCS0413E1Z1,false,Cost of Goods Sold,,YES CLOUD Additional Sales,99381000021416478,YESCLOUDSALESY,,,,,,1.00,nos,Head Office,300.00,85238010,FALSE,99381000000006208,GST18,18.00,54.00,Tax Group,,,goods,eligible,,,,300.00,,,300.00,entity_level,true,0.00,0.000,Purchase Discounts,,354.00,0.00,0.00,Adjustment,,,,,,,,,,,,,,,0.00,,,0.000,item_level,,,0.000,,,27.000,27.000,0.000,0.000
2025-10-07,99381000025894009,IN-2732,Vendor Credit,99381000000098082,Cochin,Closed,Accounts Payable,EKU'S LITTLE SHOP,99381000024981337,IN-2732,Registered,INR,1.00,,,,,PB,KL,business_gst,03AQVPK6499C1ZE,false,Printing and Stationery Expenses,,,,,,,,,Gum,1.00,,,228.81,,FALSE,99381000000006196,IGST18,18.00,41.19,ItemAmount,,,service,eligible,,,,228.81,,,228.81,entity_level,true,0.00,0.000,Purchase Discounts,,269.99,0.00,-0.01,Adjustment,Other Expenses,,,,,,,,,,,,,,0.00,,,0.000,item_level,,,0.000,,,0.000,0.000,41.190,0.000
2026-02-11,99381000027564692,001/25-56,Vendor Credit,99381000000098082,Cochin,Closed,Accounts Payable,E .G .TECH WEIGHING SYSTEMS,99381000024856297,25261045,Registered,INR,1.00,,,,,GJ,KL,business_gst,24ALXPS4805P1Z5,false,Purchase Discounts,,,,,,,,,"Battery Price difference

40Nos *210",1.00,,,9912.00,,FALSE,,,,,,,,service,,,,,9912.00,Out of Scope,,9912.00,entity_level,true,0.00,0.000,Purchase Discounts,,9912.00,0.00,0.00,Adjustment,,,,,,,,,,,,,,,0.00,,,0.000,item_level,,,0.000,,,,,,
