activity_id,date,activity_time,description,user_name,user_id,role_name,role_id,transaction_id,transaction_name,customer_name,customer_id,transaction_type,operation_type,is_from_client_portal,app_source,notes
99381000031740513,2026-07-26,26/07/2026 10:24 AM,"Sales Orders ""SO-19260"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000030397062,SO-19260,BHARATH THRASS & AUTO METER,99381000001311605,salesorder,deleted,false,Zoho Books,
99381000031740512,2026-07-26,26/07/2026 10:24 AM,"Sales Orders ""SO-19249"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000030398001,SO-19249,New Scale land,99381000001357613,salesorder,deleted,false,Zoho Books,
99381000031740511,2026-07-26,26/07/2026 10:24 AM,"Sales Orders ""SO-19246"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000030377428,SO-19246,Victory Scales,99381000000231096,salesorder,deleted,false,Zoho Books,
99381000031740510,2026-07-26,26/07/2026 10:24 AM,"Sales Orders ""SO-19245"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000030377317,SO-19245,VALUE TECH SOLUTIONS,99381000030182044,salesorder,deleted,false,Zoho Books,
99381000031740509,2026-07-26,26/07/2026 10:24 AM,"Sales Orders ""SO-19237"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000030353081,SO-19237,GK electronics,99381000000161200,salesorder,deleted,false,Zoho Books,
99381000031740508,2026-07-26,26/07/2026 10:24 AM,"Sales Orders ""SO-19210"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000030312259,SO-19210,ACCURATE TRADE LINKS,99381000000114383,salesorder,deleted,false,Zoho Books,
99381000031740507,2026-07-26,26/07/2026 10:24 AM,"Sales Orders ""SO-19194"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000030283193,SO-19194,ELMASS’ Weighing & Automation Pvt. Ltd,99381000005074017,salesorder,deleted,false,Zoho Books,
99381000031740506,2026-07-26,26/07/2026 10:24 AM,"Sales Orders ""SO-19188"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000030278001,SO-19188,ATMA TECHNOLOGIES,99381000001116152,salesorder,deleted,false,Zoho Books,
99381000031740505,2026-07-26,26/07/2026 10:24 AM,"Sales Orders ""SO-19187"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000030277001,SO-19187,YELLOW SCALES & SYSTEMS,99381000019924810,salesorder,deleted,false,Zoho Books,
99381000031740504,2026-07-26,26/07/2026 10:24 AM,"Sales Orders ""SO-19185"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000030276001,SO-19185,ARJUN'S POWERTECH,99381000012614034,salesorder,deleted,false,Zoho Books,
99381000031740503,2026-07-26,26/07/2026 10:24 AM,"Sales Orders ""SO-18765"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000029539057,SO-18765,Modern machines,99381000000036003,salesorder,deleted,false,Zoho Books,
99381000031740502,2026-07-26,26/07/2026 10:24 AM,"Sales Orders ""SO-18740"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000029492026,SO-18740,THRASSCO SOLUTIONS-TIRUR,99381000003444043,salesorder,deleted,false,Zoho Books,
99381000031740501,2026-07-26,26/07/2026 10:24 AM,"Sales Orders ""SO-18716"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000029478001,SO-18716,ALUVA SCALES INC,99381000000014794,salesorder,deleted,false,Zoho Books,
99381000031740500,2026-07-26,26/07/2026 10:24 AM,"Sales Orders ""SO-18704"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000029433863,SO-18704,ELMASS’ Weighing & Automation Pvt. Ltd,99381000005074017,salesorder,deleted,false,Zoho Books,
99381000031740499,2026-07-26,26/07/2026 10:24 AM,"Sales Orders ""SO-18701"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000029408964,SO-18701,Shinde Scale Co,99381000005638183,salesorder,deleted,false,Zoho Books,
99381000031740498,2026-07-26,26/07/2026 10:24 AM,"Sales Orders ""SO-18674"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000029388100,SO-18674,ELMASS’ Weighing & Automation Pvt. Ltd,99381000005074017,salesorder,deleted,false,Zoho Books,
99381000031740497,2026-07-26,26/07/2026 10:24 AM,"Sales Orders ""SO-18668"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000029375355,SO-18668,ACE ELECTRONICS,99381000000084508,salesorder,deleted,false,Zoho Books,
99381000031740496,2026-07-26,26/07/2026 10:24 AM,"Sales Orders ""SO-18655"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000029303001,SO-18655,MARVEL ELECTRONICS,99381000000014358,salesorder,deleted,false,Zoho Books,
99381000031740495,2026-07-26,26/07/2026 10:24 AM,"Sales Orders ""SO-18646"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000029297001,SO-18646,WEIGHTEC AUTOMATIONS PRIVATE LIMITED,99381000025167067,salesorder,deleted,false,Zoho Books,
99381000031740494,2026-07-26,26/07/2026 10:24 AM,"Sales Orders ""SO-18629"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000029173127,SO-18629,HAMDHA SCALES,99381000002854009,salesorder,deleted,false,Zoho Books,
99381000031740493,2026-07-26,26/07/2026 10:24 AM,"Sales Orders ""SO-18624"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000029217001,SO-18624,GOLDSHINE SCALE & SYSTEM,99381000003731164,salesorder,deleted,false,Zoho Books,
