PriceList Name,PriceList ID,Currency Code,Description,Percentage,Is Increase,Rounding Type,Decimal Place,PriceList Status,Type,IsDefault,Item Name,SKU,Pricing Scheme,Start Quantity,End Quantity,PriceList Rate,Discount
INVESTORS,99381000003586995,INR,INVESTORS,,false,no_rounding,0,active,per_item,false,TRIPOLE STAND SET,TRIPOLESTAND,volume,1.00,,500.000000,
INVESTORS,99381000003586995,INR,INVESTORS,,false,no_rounding,0,active,per_item,false,Floor Scale Indicator,FSIND,volume,1.00,,1800.000000,
INVESTORS,99381000003586995,INR,INVESTORS,,false,no_rounding,0,active,per_item,false,Electronic cash register,ECR,volume,1.00,,9500.000000,
INVESTORS,99381000003586995,INR,INVESTORS,,false,no_rounding,0,active,per_item,false,CCM  - Value Counting Machine,AL66,volume,1.00,9.00,7000.000000,
INVESTORS,99381000003586995,INR,INVESTORS,,false,no_rounding,0,active,per_item,false,CCM  - Value Counting Machine,AL66,volume,10.00,,6700.000000,
INVESTORS,99381000003586995,INR,INVESTORS,,false,no_rounding,0,active,per_item,false,FLOOR SCALE INDICATOR WITH EXTRA DISPLAY,K12IND,volume,1.00,,1250.000000,
INVESTORS,99381000003586995,INR,INVESTORS,,false,no_rounding,0,active,per_item,false,Platform Weighing Scale 400x400 MS,PFPC400X400MS,volume,10.00,,3500.000000,
INVESTORS,99381000003586995,INR,INVESTORS,,false,no_rounding,0,active,per_item,false,CHICKEN SCALE 300KG MS,CS400X400MS,volume,1.00,,3400.000000,
INVESTORS,99381000003586995,INR,INVESTORS,,false,no_rounding,0,active,per_item,false,Platform Scale 60x60,PF60MS,volume,1.00,,4700.000000,
INVESTORS,99381000003586995,INR,INVESTORS,,false,no_rounding,0,active,per_item,false,CHICKEN SCALE 100 KG SS,CS300X300SS,volume,1.00,,2250.000000,
INVESTORS,99381000003586995,INR,INVESTORS,,false,no_rounding,0,active,per_item,false,Analytical Balance 220g /0.1mg,BSM2204,volume,1.00,,19000.000000,
INVESTORS,99381000003586995,INR,INVESTORS,,false,no_rounding,0,active,per_item,false,Electronic weighing scale DJ600,DJ600,volume,1.00,5.00,4400.000000,
INVESTORS,99381000003586995,INR,INVESTORS,,false,no_rounding,0,active,per_item,false,Electronic weighing scale DJ600,DJ600,volume,6.00,17.00,4200.000000,
INVESTORS,99381000003586995,INR,INVESTORS,,false,no_rounding,0,active,per_item,false,Electronic weighing scale DJ600,DJ600,volume,18.00,,4000.000000,
INVESTORS,99381000003586995,INR,INVESTORS,,false,no_rounding,0,active,per_item,false,CHICKEN SCALE 300KG SS,CS400X400SS,volume,1.00,,3300.000000,
INVESTORS,99381000003586995,INR,INVESTORS,,false,no_rounding,0,active,per_item,false,Analytical Balance 220g/1 mg,BSM2203,volume,1.00,,7400.000000,
INVESTORS,99381000003586995,INR,INVESTORS,,false,no_rounding,0,active,per_item,false,Platform Weighing Scale 450x600 SS,PF4560,volume,1.00,,4350.000000,
INVESTORS,99381000003586995,INR,INVESTORS,,false,no_rounding,0,active,per_item,false,KITCHEN  SCALE,MK2003,volume,1.00,,375.000000,
INVESTORS,99381000003586995,INR,INVESTORS,,false,no_rounding,0,active,per_item,false,Platform 1.5mx1.5m,PLT1500,volume,1.00,,22000.000000,
INVESTORS,99381000003586995,INR,INVESTORS,,false,no_rounding,0,active,per_item,false,Platform 1mx1m,PLT1000,volume,1.00,,12000.000000,
INVESTORS,99381000003586995,INR,INVESTORS,,false,no_rounding,0,active,per_item,false,Platform 1.2mx1.2m,PLT1200,volume,1.00,,16500.000000,
INVESTORS,99381000003586995,INR,INVESTORS,,false,no_rounding,0,active,per_item,false,ELECTRONIC PLATFORM SCALE-100kg,BEN30X40MSBR,volume,1.00,,2250.000000,
INVESTORS,99381000003586995,INR,INVESTORS,,false,no_rounding,0,active,per_item,false,Platform Scale 30x40 Ben,BEN340,volume,1.00,,2250.000000,
December Bonaza,99381000004366007,INR,,,false,no_rounding,0,inactive,per_item,false,ELECTRONIC PLATFORM SCALE-100kg,BEN30X40MSBR,volume,1.00,23.00,2500.000000,
December Bonaza,99381000004366007,INR,,,false,no_rounding,0,inactive,per_item,false,ELECTRONIC PLATFORM SCALE-100kg,BEN30X40MSBR,volume,24.00,500.00,2350.000000,
December Bonaza,99381000004366007,INR,,,false,no_rounding,0,inactive,per_item,false,Platform Scale 30x40 Ben,BEN340,volume,1.00,23.00,2500.000000,
December Bonaza,99381000004366007,INR,,,false,no_rounding,0,inactive,per_item,false,Platform Scale 30x40 Ben,BEN340,volume,24.00,,2350.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,ECS5W / 4W/Q10 KEYBOARD,ECS811,unit,1.00,1.00,1000.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,Bench PC Load Cell Protection cover,BPC106,unit,1.00,1.00,135.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,ENCODING SENSOR CCM,CCM108,unit,1.00,1.00,120.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,Q8LBL KEYPAD SILICON PAD,Q8617,unit,1.00,1.00,200.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,Loadcell 40KG 88mm,LC4088,unit,1.00,1.00,120.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,RMC Connector 3 Pin,RCP3,unit,1.00,1.00,7.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,Q9LBL Printer GearSet,Q9715,unit,1.00,1.00,340.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,BENCH PC   GREEN INDICATOR BOTTOM CASE,BPCG0031,unit,1.00,1.00,160.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,Q9LBL PRINTER MOTHERBOARD,Q9719,unit,1.00,1.00,400.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,Body / Housing Back (B3+),BHBB3,unit,1.00,1.00,280.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,CCM display & Keypad sticker,CCM114,unit,1.00,1.00,290.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,ATM30DAD1 Body set bottom case,ABSBC3,unit,1.00,1.00,210.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,CCM COUNTING SENSOR,CCM116,unit,1.00,1.00,180.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,ECS5W KEYBOARD CONNECT BOARD,ECS810,unit,1.00,1.00,150.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,Transformer 6.5v,TRF6V,unit,1.00,1.00,90.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,SIDE KEYPAD CCM,CCM109,unit,1.00,1.00,95.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,Q8LBL DISPLAY STICKER FRONT,Q8618,unit,1.00,1.00,125.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,Loadcell 3kg 130mm,L3130,unit,1.00,1.00,180.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,RMC Connector 2 Pin,RCP2,unit,1.00,1.00,5.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,BENCH PC GREEN MAIN BOARD,BPGMB,unit,1.00,1.00,180.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,Q9LBL PRINTER ROLLER MECHANISM,Q9720,unit,1.00,1.00,650.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,socket (B3+) 2 Pin,SBP32,unit,1.00,1.00,15.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,CCM ROTATE WHEEL,CCM115,unit,1.00,1.00,60.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,ATM30DAD1 PAN bush Leg,APBL30,unit,1.00,1.00,20.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,CCM COUNTING SENSOR -AL800,CCSA80,unit,1.00,1.00,180.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,Precision Balance JA203P (210g/0.001g),YSA213P,unit,1.00,1.00,7500.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,ATM30DAD1 Display front and back (dual LED),ADFABD,unit,1.00,1.00,375.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,SCANGLE - LABEL PRINTER DIRECT THERMAL,LDT,unit,1.00,1.00,5200.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,CCM LCD DISPLAY,CCM118,unit,1.00,1.00,1300.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,ECS5W DISPLAY SET FRONT,ECS808,unit,1.00,1.00,1950.000000,
