Product ID,Product Name,Usage unit,Description,Product Type,AttributeName1,AttributeName2,AttributeName3,Manufacturer,Brand,Is Returnable Item,Is Receivable Service,Category Name,Variant Type,Variant Name,Variant Description,Selling Price,MRP,SKU,Purchase Price,Purchase Description,AttributeOption1,AttributeOption2,AttributeOption3,Opening Stock,Opening Stock Value,Inventory Valuation Method,HSN/SAC,Is Tax Calculated on Label Price,UPC,EAN,ISBN,Part Number,Reorder Level,Package weight,Package width,Package height,Package length,Dimension Unit,Weight Unit,Taxable,Exemption Reason,Taxability Type,Intra State Tax Name,Intra State Tax Rate,Intra State Tax Type,Inter State Tax Name,Inter State Tax Rate,Inter State Tax Type,Item.CF.No of pcs in Master carton
99381000030748308,PLATFORM SCALE -BENCH (G-QZ2),nos,"Max:50kg e:5g Min:100g Class:III Display : Green ,Printer",goods,,,,,,true,,BILL PRINTING SCALES,Inventory,Bench Scale Pro MS,"Max:50kg e:5g Min:100g Class:III Display : Green ,Printer",INR 5900.00,INR 14750.00,BPPRMS,INR 4400.00,"Max:50kg e:5g Min:100g Class:III Display : Green ,Printer",,,,0.00,INR 0.00,fifo,84238290,FALSE,,,,,,0.000000,0.000000,0.000000,0.000000,cm,kg,true,,,GST18,18.000000,Group,IGST18,18.000000,Simple,
99381000030748309,PLATFORM SCALE -BENCH (G-QZ2),nos,"Max:50kg e:5g Min:100g Class:III Display : Green ,Printer",goods,,,,,,true,,BILL PRINTING SCALES,Inventory,Bench scale Pro SS,"Max:50kg e:5g Min:100g Class:III Display : Green ,Printer",INR 7900.00,INR 19750.00,BPPRSS,INR 5000.00,"Max:50kg e:5g Min:100g Class:III Display : Green ,Printer",,,,0.00,INR 0.00,fifo,84238290,FALSE,,,,,,0.000000,0.000000,0.000000,0.000000,cm,kg,true,,,GST18,18.000000,Group,IGST18,18.000000,Simple,
99381000030748479,SCANGLE - BARCODE SERIAL SCANNER  1D HANDY,nos,"DIMENSION: 420(W)*410(D)*100(H), BILLS: 5 BILLS, COINS: 5 COINS ,INTERFACE: RJ11/USB/RS232
",goods,,,,,,true,,PRINTERS & SCANNERS,Inventory,SCANGLE - CASH DRAWER 5 CONTAINER POS,"DIMENSION: 420(W)*410(D)*100(H), BILLS: 5 BILLS, COINS: 5 COINS ,INTERFACE: RJ11/USB/RS232
",INR 2750.00,INR 6875.00,CASHDRAWERPOS,INR 2290.00,"DIMENSION: 420(W)*410(D)*100(H), BILLS: 5 BILLS, COINS: 5 COINS ,INTERFACE: RJ11/USB/RS232
",,,,0.00,INR 0.00,fifo,83030000,FALSE,,,,,,0.000000,0.000000,0.000000,0.000000,cm,kg,true,,,GST18,18.000000,Group,IGST18,18.000000,Simple,
99381000030748482,"SCANGLE - POS TERMINAL SGT-664i5 15"" AFB (8GB)",nos,"SKU: 664A, RK3566/2GB/16GB DDR3, 15.6''  FRONT DISPLAY HD, CAPACITIVE TP, ANDROID 11 GOOGLE PLAY WIFI/BT, ALUMINIUM FOLDABLE BODY
",goods,,,,,,true,,TOUCH POS SYSTEMS,Inventory,"POS Terminal 15.6"" Android","SKU: 664A, RK3566/2GB/16GB DDR3, 15.6''  FRONT DISPLAY HD, CAPACITIVE TP, ANDROID 11 GOOGLE PLAY WIFI/BT, ALUMINIUM FOLDABLE BODY
",INR 23000.00,INR 30000.00,668A156,INR 19050.00,"SKU: 664A, RK3566/2GB/16GB DDR3, 15.6''  FRONT DISPLAY HD, CAPACITIVE TP, ANDROID 11 GOOGLE PLAY WIFI/BT, ALUMINIUM FOLDABLE BODY
",,,,0.00,INR 0.00,fifo,84714190,FALSE,,,,,,0.000000,0.000000,0.000000,0.000000,cm,kg,true,,,GST18,18.000000,Group,IGST18,18.000000,Simple,
99381000030748483,SCANGLE - BARCODE SERIAL SCANNER  1D HANDY,nos,,goods,,,,,,true,,PRINTERS & SCANNERS,Inventory,SCANGLE - BARCODE 2D SCANNER PT-138,,INR 3600.00,INR 9000.00,PT138SCR88,INR 2000.00,,,,,0.00,INR 0.00,fifo,84733099,FALSE,,,,,,0.000000,0.000000,0.000000,0.000000,cm,kg,true,,,GST18,18.000000,Group,IGST18,18.000000,Simple,
99381000030748485,SCANGLE - BARCODE SERIAL SCANNER  1D HANDY,nos,"TYPE: LASER, INTERFACE: USB, SCAN MODE SINGLE LINE SCAN, DECODING SPEED 150 times/Second, TRANSMISSION MODE: 2.4GHz
",goods,,,,,,true,,PRINTERS & SCANNERS,Inventory,SCANGLE - BARCODE SCANNER 1D WIRELESS-EF09,"TYPE: LASER, INTERFACE: USB, SCAN MODE SINGLE LINE SCAN, DECODING SPEED 150 times/Second, TRANSMISSION MODE: 2.4GHz
",INR 2200.00,INR 5500.00,EF09,INR 1500.00,"TYPE: LASER, INTERFACE: USB, SCAN MODE SINGLE LINE SCAN, DECODING SPEED 150 times/Second, TRANSMISSION MODE: 2.4GHz
",,,,0.00,INR 0.00,fifo,84716050,FALSE,,,,,,0.000000,0.000000,0.000000,0.000000,cm,kg,true,,,GST18,18.000000,Group,IGST18,18.000000,Simple,
99381000030748487,SCANGLE - BARCODE SERIAL SCANNER  1D HANDY,nos,"SCANGLE LABEL PRINTER
DIRECT THERMAL,LBL PRINTER",goods,,,,,,true,,PRINTERS & SCANNERS,Inventory,SCANGLE - LABEL PRINTER DIRECT THERMAL,"SCANGLE LABEL PRINTER
DIRECT THERMAL,LBL PRINTER",INR 5000.00,INR 12500.00,LDT,INR 4000.00,"SCANGLE LABEL PRINTER
DIRECT THERMAL,LBL PRINTER",,,,0.00,INR 0.00,fifo,84433290,FALSE,,,,,,0.000000,0.000000,0.000000,0.000000,cm,kg,true,,,GST18,18.000000,Group,IGST18,18.000000,Simple,
99381000030748488,"SCANGLE - POS TERMINAL SGT-664i5 15"" AFB (8GB)",nos,"SCANGLE  DESKTOP WINDOWS POS
INTEL i3 3RD GEN WINDOWS 10,4GB+128GB SSD, 14'' FRONT DISPLAY,ALUMINIUM ALLOY CASE,COLOUR: BLACK
",goods,,,,,,true,,TOUCH POS SYSTEMS,Inventory,"POS TERMINAL  14"" Windows","SCANGLE  DESKTOP WINDOWS POS
INTEL i3 3RD GEN WINDOWS 10,4GB+128GB SSD, 14'' FRONT DISPLAY,ALUMINIUM ALLOY CASE,COLOUR: BLACK
",INR 26000.00,INR 33500.00,664W14,INR 21000.00,"SCANGLE  DESKTOP WINDOWS POS
INTEL i5 3RD GEN WINDOWS 10,4GB+128GB SSD, 14'' FRONT DISPLAY,ALUMINIUM ALLOY CASE,COLOUR: BLACK
",,,,0.00,INR 0.00,fifo,84705010,FALSE,,,,,,0.000000,0.000000,0.000000,0.000000,cm,kg,true,,,GST18,18.000000,Group,IGST18,18.000000,Simple,
99381000030748490,"SCANGLE - POS TERMINAL SGT-664i5 15"" AFB (8GB)",nos,"SCANGLE ALL IN ONE ANDROID POS
RK3566QUAD CORE ANDROID 11, 2GB+16GB, 11.6'' IPS SCREEN, 80mm THERMAL PRINTER",goods,,,,,,true,,TOUCH POS SYSTEMS,Inventory,"All in one pos terminal 12.5""","SCANGLE ALL IN ONE ANDROID POS
RK3566QUAD CORE ANDROID 11, 2GB+16GB, 11.6'' IPS SCREEN, 80mm THERMAL PRINTER",INR 20500.00,INR 53750.00,A121,INR 17200.00,"SCANGLE ALL IN ONE ANDROID POS
RK3566QUAD CORE ANDROID 11, 2GB+16GB, 11.6'' IPS SCREEN, 80mm THERMAL PRINTER",,,,0.00,INR 0.00,fifo,84705010,FALSE,,,,,,0.000000,0.000000,0.000000,0.000000,cm,kg,true,,,GST18,18.000000,Group,IGST18,18.000000,Simple,
99381000030748494,"SCANGLE - POS TERMINAL SGT-664i5 15"" AFB (8GB)",nos,"SCANGLE ALL IN ONE ANDROID POS
RK3566QUAD CORE ANDROID 11, 2GB+32GB, 11.6'' IPS SCREEN, 80mm THERMAL PRINTER,AUTO CUTTER,ADDITIONAL DISPLAY",goods,,,,,,true,,TOUCH POS SYSTEMS,Inventory,"All In One Pos Terminal 12.5"" AC","SCANGLE ALL IN ONE ANDROID POS
RK3566QUAD CORE ANDROID 11, 2GB+32GB, 11.6'' IPS SCREEN, 80mm THERMAL PRINTER,AUTO CUTTER,ADDITIONAL DISPLAY",INR 20800.00,INR 52000.00,A12N,INR 17300.00,"SCANGLE ALL IN ONE ANDROID POS
RK3566QUAD CORE ANDROID 11, 2GB+32GB, 11.6'' IPS SCREEN, 80mm THERMAL PRINTER,AUTO CUTTER,ADDITIONAL DISPLAY",,,,0.00,INR 0.00,fifo,84705010,FALSE,,,,,,0.000000,0.000000,0.000000,0.000000,cm,kg,true,,,GST18,18.000000,Group,IGST18,18.000000,Simple,
99381000030748496,"SCANGLE - POS TERMINAL SGT-664i5 15"" AFB (8GB)",nos,"i5 5TH GEN 8+256GB SSD 15"" FRONT DISPLAY WINDOWS 10,ALUMINIUM AALOY",goods,,,,,,true,,TOUCH POS SYSTEMS,Inventory,"POS TERMINAL 15"" Windows","i5 5TH GEN 8+256GB SSD 15"" FRONT DISPLAY WINDOWS 10,ALUMINIUM AALOY",INR 28100.00,INR 37000.00,280F,INR 23400.00,"i5 5TH GEN 8+1256GB SSD 15"" FRONT DISPLAY WINDOWS 10,ALUMINIUM AALOY",,,,0.00,INR 0.00,fifo,84705010,FALSE,,,,,,0.000000,0.000000,0.000000,0.000000,cm,kg,true,,,GST18,18.000000,Group,IGST18,18.000000,Simple,
99381000030748497,SCANGLE - BARCODE SERIAL SCANNER  1D HANDY,nos,Max : 510g Min : 100mg e: 1mg d : 1mg Class : I Model :YSA,goods,,,,,,true,,ANALYTICAL SCALES,Inventory,PRICISION BALANCE 510g/1mg,Max : 510g Min : 100mg e: 1mg d : 1mg Class : I Model :YSA,INR 7900.00,INR 9500.00,YSA510,INR 6417.00,Max : 510g Min : 100mg e: 1mg d : 1mg Class : I Model :YSA,,,,0.00,INR 0.00,fifo,84238190,FALSE,,,,,,0.000000,0.000000,0.000000,0.000000,cm,kg,true,,,GST18,18.000000,Group,IGST18,18.000000,Simple,
99381000030748498,SCANGLE - BARCODE SERIAL SCANNER  1D HANDY,nos,"SCANGLE BARCODE SERIAL SCANNER
TYPE: CCD, INTERFACE: USB
",goods,,,,,,true,,PRINTERS & SCANNERS,Inventory,SCANGLE - BARCODE SERIAL SCANNER  1D HANDY,"SCANGLE BARCODE SERIAL SCANNER
TYPE: CCD, INTERFACE: USB
",INR 1050.00,INR 2625.00,SERIALSCANNER,INR 850.00,"SCANGLE BARCODE SERIAL SCANNER
TYPE: CCD, INTERFACE: USB
",,,,0.00,INR 0.00,fifo,84716050,FALSE,,,,,,0.000000,0.000000,0.000000,0.000000,cm,kg,true,,,GST18,18.000000,Group,IGST18,18.000000,Simple,
99381000030748695,TABLE TOP SCALE PC (GREEN-AY),nos,,goods,,,,,,false,,WEIGHING INDICATORS,Inventory,TRIPOLE STAND SET,,INR 500.00,INR 1250.00,TRIPOLESTAND,INR 370.00,,,,,0.00,INR 0.00,fifo,84239020,FALSE,,,,,,0.000000,0.000000,0.000000,0.000000,,,true,,,GST18,18.000000,Group,IGST18,18.000000,Simple,
99381000030748696,TABLE TOP SCALE PC (GREEN-AY),nos,"Make  : YESWEIGH Model: YST-20
Max :20kg e:2gm Min: 40g Class III",goods,,,,,,false,,WEIGHING SCALES INDIA,Inventory,Table Top Chottu 4v,"Make  : YESWEIGH Model: YST-20
Max :20kg e:2gm Min: 40g Class III",INR 1225.00,INR 3900.00,CH4VSF,INR 1000.00,Max :20kg e:2gm Min: 40g Class III,,,,0.00,INR 0.00,fifo,84231000,FALSE,,,,,,19.000000,32.000000,48.000000,62.000000,cm,kg,true,,,GST18,18.000000,Group,IGST18,18.000000,Simple,6
99381000030748700,"SCANGLE-POS TERMINAL SGT-i8 15.6""  i5 5TH GEN",nos,"RK3566 QUAD CORE 2GB+32GB SSD 15.6"" FRONT DISPLAY  80MM PRINTER
",goods,,,,,,true,,TOUCH POS SYSTEMS,Inventory,"Pos  Terminal  A 15.6""","RK3566 QUAD CORE 2GB+32GB SSD 15.6"" FRONT DISPLAY  80MM PRINTER
",INR 24900.00,INR 32500.00,880P,INR 20750.00,"RK3566 QUAD CORE 2GB+32GB SSD 15.6"" FRONT DISPLAY  80MM PRINTER
",,,,0.00,INR 0.00,fifo,84705010,FALSE,,,,,,0.000000,0.000000,0.000000,0.000000,cm,kg,true,,,GST18,18.000000,Group,IGST18,18.000000,Simple,
