Date,Credit Note Number,Branch Name,Invoice Number,Applied Invoice Date,Amount
2023-11-15,CN-00109,Cochin,YES/23-24/2322,2023-11-15,72032.000
2023-11-18,CN-00110,Cochin,YES/23-24/2365,2023-11-18,65119.000
2023-11-23,CN-00111,Cochin,YES/23-24/2420,2023-11-23,29500.000
2023-12-02,CN-00112,Cochin,YES/23-24/2489,2023-12-01,22222.000
2023-12-05,CN-00114,Cochin,YES/23-24/2530,2023-12-05,13878.000
2023-12-12,CN-00115,Cochin,YES/23-24/2607,2023-12-11,11111.000
2023-12-19,CN-00116,Head Office,YES/23-24/2664,2023-12-15,1499.000
2023-12-15,CN-00113,Head Office,YES/23-24/2664,2023-12-15,360.000
2023-12-19,CN-00117,Cochin,YES/23-24/2705,2023-12-19,11111.000
2024-01-17,CN-00118,Head Office,YES/23-24/2855,2024-01-02,12036.000
2024-02-17,CN-00113,Head Office,YES/23-24/3411,2024-02-17,65.000
2024-02-24,CN-00120,Cochin,YES/23-24/3527,2024-02-24,31860.000
2024-03-05,CN-00121,Cochin,YES/23-24/3661,2024-03-05,11476.000
2024-03-02,CN-00122,Cochin,YES/23-24/3633,2024-03-02,18396.000
2024-03-04,CN-00123,Cochin,YES/23-24/3648,2024-03-04,9202.000
2024-03-07,CN-00124,Cochin,YES/23-24/3662,2024-03-05,11476.000
2024-03-06,CN-00125,Cochin,YES/23-24/3682,2024-03-06,166339.000
2024-03-04,CN-00126,Cochin,YES/23-24/3644,2024-03-04,41123.000
2024-03-04,CN-00127,Cochin,YES/23-24/3645,2024-03-04,14750.000
2024-03-04,CN-00128,Cochin,YES/23-24/3646,2024-03-04,42488.000
2024-03-06,CN-00129,Cochin,YES/23-24/3671,2024-03-06,30596.000
2024-03-06,CN-00130,Cochin,YES/23-24/3672,2024-03-06,20397.000
2024-03-06,CN-00131,Cochin,YES/23-24/3678,2024-03-06,118000.000
2024-03-09,CN-00132,Cochin,YES/23-24/3712,2024-03-09,35418.000
2024-03-11,CN-00133,Cochin,YES/23-24/3714,2024-03-09,11628.000
2024-03-11,CN-00134,Head Office,YES/23-24/3716,2024-03-09,15576.000
2024-03-12,CN-00135,Cochin,YES/23-24/3732,2024-03-11,20857.000
2024-03-11,CN-00136,Cochin,YES/23-24/3737,2024-03-11,20164.000
2024-03-12,CN-00137,Cochin,YES/23-24/3729,2024-03-11,19153.000
2024-03-12,CN-00137,Cochin,YES/23-24/3730,2024-03-11,519.000
2024-03-12,CN-00138,Cochin,YES/23-24/3745,2024-03-12,78689.000
2024-03-12,CN-00139,Cochin,YES/23-24/3746,2024-03-12,9202.000
2024-03-14,CN-00140,Cochin,YES/23-24/3775,2024-03-13,11795.000
2024-03-15,CN-00141,Cochin,YES/23-24/3805,2024-03-15,593.000
2024-03-15,CN-00142,Cochin,YES/23-24/3807,2024-03-15,19672.000
2024-03-16,CN-00143,Cochin,YES/23-24/3816,2024-03-16,125902.000
2024-03-18,CN-00144,Cochin,YES/23-24/3833,2024-03-18,85629.000
2024-03-20,CN-00145,Cochin,YES/23-24/3702,2024-03-08,12095.000
2024-03-23,CN-00146,Cochin,YES/23-24/3888,2024-03-23,3530.000
2024-03-26,CN-00147,Cochin,YES/23-24/3917,2024-03-26,637.000
2024-03-30,CN-00148,Cochin,YES/23-24/2366,2023-11-18,13500.000
2024-03-30,CN-00149,Cochin,YES/23-24/2364,2023-11-18,19440.000
2024-03-27,CN-00150,Cochin,YES/23-24/3931,2024-03-27,64874.000
2024-03-28,CN-00151,Cochin,YES/23-24/3953,2024-03-28,19672.000
2024-06-13,CN-00153,Cochin,YES/24-25/0737,2024-06-13,17110.000
2024-06-20,CN-00152,Head Office,YES/24-25/0805,2024-06-20,1888.000
2024-07-27,CN-00154,Cochin,YES/24-25/1229,2024-07-26,15738.000
2024-08-07,CN-00155,Cochin,YES/24-25/1345,2024-08-07,21240.000
2024-08-06,CN-00155,Cochin,YES/24-25/1329,2024-08-06,2478.000
2024-08-21,CN-00156,Cochin,YES/24-25/1454,2024-08-21,29500.000
2024-09-04,CN-00158,Cochin,YES/24-25/1579,2024-09-04,9086.000
2024-09-26,CN-00159,Cochin,YES/24-25/1759,2024-09-26,6490.000
2024-12-02,CN-00162,Cochin,YES/24-25/2355,2024-11-30,110920.000
2024-12-02,CN-00161,Cochin,YES/24-25/2365,2024-12-02,41595.000
2024-12-04,CN-00165,Head Office,YES/24-25/2384,2024-12-03,649.000
2024-12-04,CN-00164,Head Office,YES/24-25/2385,2024-12-03,472.000
2024-12-04,CN-00163,Head Office,YES/24-25/2391,2024-12-04,1121.000
2024-12-10,CN-00161,Cochin,YES/24-25/2458,2024-12-10,2640.000
2025-01-10,CN-00166,Head Office,YES/24-25/2761,2025-01-10,2124.000
2025-01-15,CN-00160,Cochin,YES/24-25/2833,2025-01-15,2242.000
2025-02-07,CN-00167,Cochin,YES/24-25/3048,2025-02-01,31392.000
2025-02-15,CN-00168,Cochin,YES/24-25/3139,2025-02-11,22347.000
2025-02-21,CN-00163,Head Office,YES/24-25/3234,2025-02-21,50.000
2025-02-27,CN-00169,Cochin,YES/24-25/3284,2025-02-27,24162.000
2025-03-01,CN-00170,Cochin,YES/24-25/3239,2025-02-22,11242.000
2025-02-28,CN-00169,Cochin,YES/24-25/3291,2025-02-28,612.000
2025-03-17,CN-00171,Cochin,YES/24-25/3462,2025-03-17,14824.000
2025-03-18,CN-00172,Cochin,YES/24-25/3471,2025-03-18,54830.000
2025-03-18,CN-00173,Cochin,YES/24-25/3472,2025-03-18,2295.000
2025-03-18,CN-00174,Cochin,YES/24-25/3469,2025-03-18,64015.000
2025-03-19,CN-00175,Cochin,YES/24-25/3476,2025-03-19,3764.000
2025-03-19,CN-00176,Cochin,YES/24-25/3458,2025-03-17,44571.000
2025-03-22,CN-00177,Cochin,YES/24-25/3506,2025-03-22,33907.000
2025-03-22,CN-00178,Cochin,YES/24-25/3507,2025-03-22,40205.000
2025-03-22,CN-00179,Cochin,YES/24-25/3509,2025-03-22,17580.000
2025-03-24,CN-00180,Cochin,YES/24-25/3536,2025-03-24,48734.000
2025-03-24,CN-00181,Cochin,YES/24-25/3541,2025-03-24,29810.000
2025-03-25,CN-00182,Cochin,YES/24-25/3563,2025-03-25,16129.000
2025-03-27,CN-00183,Cochin,YES/24-25/3597,2025-03-27,35282.000
2025-03-27,CN-00184,Cochin,YES/24-25/3596,2025-03-27,64516.000
2025-03-27,CN-00185,Cochin,YES/24-25/3591,2025-03-27,16129.000
2025-03-28,CN-00186,Cochin,YES/24-25/3605,2025-03-28,24638.000
2025-03-29,CN-00187,Cochin,YES/24-25/3631,2025-03-29,32331.000
2025-03-29,CN-00188,Cochin,YES/24-25/3629,2025-03-29,33178.000
2025-03-29,CN-00189,Cochin,YES/24-25/3627,2025-03-29,13675.000
2025-03-29,CN-00190,Cochin,YES/24-25/3628,2025-03-29,27151.000
2025-03-29,CN-00191,Cochin,YES/24-25/3633,2025-03-29,9324.000
2025-03-29,CN-00192,Cochin,YES/24-25/3636,2025-03-29,16129.000
2025-03-29,CN-00193,Cochin,YES/24-25/3635,2025-03-29,35941.000
2025-03-29,CN-00194,Cochin,YES/24-25/3638,2025-03-29,12903.000
